GPU Model, Instance Type, Pricing GC2 (Static) Per GPU-Hour USD, Spot GPUs, VRAM/GPU (Min - Max), vCPUs/GPU, RAM/GPU, Storage/GPU,
Nvidia GH200, Lite VM, $0.98, $0.49, (45-96) GB, 24, 164 GiB, 700 GiB SSD,
Nvidia H100 SXM, Lite VM, $0.88, $0.44, (40-80) GB, 22, 154 GiB, 500 GiB SSD,
Nvidia H100 PCIe, Lite VM, $0.72, $0.36, (40-80) GB, 22, 154 GiB, 500 GiB SSD,
Nvidia A100 80GB SXM, Lite VM, $0.64, $0.32, (40-80) GB, 22, 154 GiB, 500 GiB SSD,
Nvidia A100 80GB PCIe, Lite VM, $0.59, $0.30, (40-80) GB, 22, 144 GiB, 500 GiB SSD,
Nvidia A100 40GB PCIe, Lite VM, $0.41, $0.20, (15-40) GB, 18, 122 GiB, 400 GiB SSD,
Nvidia L40, Lite VM, $0.39, $0.19, (22-48) GB, 20, 132 GiB, 500 GiB SSD,
Nvidia A40, Lite VM, $0.30, $0.15, (22-48) GB, 20, 132 GiB, 500 GiB SSD,
Nvidia RTX A6000, Lite VM, $0.29, $0.14, (22-48) GB, 20, 132 GiB, 500 GiB SSD,
Nvidia RTX A6000 Ada, Lite VM, $0.29, $0.14, (22-48) GB, 20, 132 GiB, 500 GiB SSD,
Nvidia A10, Lite VM, $0.24, $0.12, (15-24) GB, 14, 48 GiB, 350 GiB SSD,
Nvidia RTX A5000, Lite VM, $0.22, $0.11, (15-24) GB, 14, 48 GiB, 350 GiB SSD,
Nvidia T4, Lite VM, $0.14, $0.07, (10-16) GB, 12, 32 GiB, 200 GiB SSD,
Nvidia RTX A4000, Lite VM, $0.12, $0.06, (10-16) GB, 12, 32 GiB, 150 GiB SSD,
